Rango, Error
0-600mV,0.02
0-600mV,0.0002
0-6 V,0
0-6 V,0.02
0-6 V,0.0002
0-6 V,0.001
6-60 V,0
6-60 V,0
6-60 V,0.002
6-60 V,0
6-60 V,0.01
6-60 V,0.01
6-60 V,0.01
6-60 V,0.02
60-600 V,0
60-600 V,0
60-600 V,0.03
60-600 V,0
60-600 V,0
60-600 V,0.1
600-1000 V,0.1
600-1000 V,0.1
600-1000 V,0.1
0-600mV,0.01
0-600mV,0.0001
0-6 V,0
0-6 V,0.01
0-6 V,0.0001
0-6 V,0.001
6-60 V,0
6-60 V,0
6-60 V,0.003
6-60 V,0
6-60 V,0
6-60 V,0.01
6-60 V,0.01
6-60 V,0.01
60-600 V,0
60-600 V,0
60-600 V,0.02
60-600 V,0.1
60-600 V,0
60-600 V,0.1
600-1000 V,0.1
600-1000 V,0.1
600-1000 V,0.2
0-600mV,0.009
0-600mV,0.0001
0-6 V,0.00008
0-6 V,0.009
0-6 V,0.0001
0-6 V,0.00008
6-60 V,0.001
6-60 V,0.0001
6-60 V,0.0019
6-60 V,0.196
6-60 V,0.00094
6-60 V,0.0092
6-60 V,0.0089
60-600 V,0.0178
60-600 V,0.004
60-600 V,0.008
60-600 V,0.018
60-600 V,0.009
60-600 V,0.001
600-1000 V,0.103
600-1000 V,0.013
600-1000 V,0.11
600-1000 V,0
